employee_ID,distance_in_m,time_in_s,CO2_in_g,category
0,36696.64215998121,2684.9103095304577,4487.999336165702,car
1,36959.79468899788,3476.268847346609,4520.18289046444,car
2,31107.21096476861,2361.3861595565204,3804.411900991201,car
3,3517.9570214600417,266.74709265903465,430.24614372456307,car
4,3284.4882038160804,490.4396046804479,164.224410190804,public
5,3729.1897852028296,555.9968142745189,186.45948926014148,public
6,39193.91196929655,5320.342080719741,1959.6955984648273,public
7,32384.170348739324,2290.303416970526,3960.584033650819,car
8,3284.667337375324,478.60606410280434,164.2333668687662,public
9,36218.02343640385,4898.226641550235,1810.9011718201923,public
10,3760.5208788790583,886.1574487937465,18.80260439439529,bike
11,3672.9833580135833,595.6771260284225,183.64916790067917,public
12,3631.909612556998,240.71167019827237,444.18254561572087,car
13,35744.15630228549,2382.2588767630705,4371.510315769515,car
14,3579.374640071931,657.2873498198576,178.96873200359656,public
15,3812.556297567409,541.5925340237054,190.62781487837043,public
16,3459.6673677925733,207.75733477914653,423.1173190810317,car
17,41002.2929622194,3159.602160967429,5014.580429279433,car
18,43388.41146836805,3141.2608990347685,5306.4027225814125,car
19,34223.154382721514,3335.6423480416624,4185.491781006841,car
20,3762.1900747661402,904.5678184422947,18.810950373830703,bike
21,33881.30895215803,2267.446013421185,4143.684084848927,car
22,3127.938765323459,439.70026240860426,156.39693826617295,public
23,31325.784241856472,2368.0035223877303,3831.1434127790467,car
24,3677.47904054349,517.2228120410405,183.8739520271745,public
25,3700.8196974468433,275.4672404311008,452.61024899774895,car
26,37052.07329535593,5704.969050537983,1852.6036647677963,public
27,3707.328736087193,516.718184243015,185.36643680435967,public
28,3728.4271678729397,268.25472013336463,455.9866426308605,car
29,3014.7332684586227,496.0375453574799,150.73666342293114,public
30,3726.817082933617,312.5375234711433,455.78972924278133,car
31,3488.499509301036,234.65393248101958,426.6434899875167,car
32,35134.22950426484,4765.076144898782,1756.711475213242,public
33,30902.114465193965,4613.608417883564,1545.1057232596982,public
34,36830.819126108625,5620.878239767961,1841.540956305431,public
35,29834.60055586277,4089.5436821364474,1491.7300277931386,public
36,3629.851957326355,224.8633150787268,443.9308943810132,car
37,3283.4910165200486,260.3948775506331,401.5709513204019,car
38,4042.6793704012784,968.8641256563986,20.213396852006394,bike
39,3825.957656182519,251.80809836844287,467.91462135112204,car
40,3638.395822566882,516.608538400667,181.91979112834412,public
41,30818.317452178773,2346.773488782082,3769.080224401464,car
42,3750.3012199569775,618.00913827018,187.51506099784888,public
43,3753.5301674768275,462.89012101248494,187.6765083738414,public
44,3583.9981932139303,233.15375999425657,438.32297903006366,car
45,3453.436412507422,514.8331084922893,172.67182062537108,public
46,3692.410430522131,418.95561070760454,184.62052152610656,public
47,3830.472174726189,504.6330805824536,191.52360873630946,public
48,40733.51256286738,6707.842823901163,2036.675628143369,public
49,3904.470196508303,593.7926389333695,195.22350982541516,public
