employee_ID,distance_in_m,time_in_s,CO2_in_g,category
0,3600,266.4455476623827,440.28,car
1,3600,251.66352845147918,440.28,car
2,3600,300.500507546928,440.28,car
3,3600,302.1898773854684,440.28,car
4,3600,508.1980028955883,180.0,public
5,3600,235.97909895027118,440.28,car
6,3600,274.5097424708959,440.28,car
7,3600,248.9854681651949,440.28,car
8,3600,513.1346322791524,180.0,public
9,3600,568.2882150642981,180.0,public
10,3600,465.0245357044755,180.0,public
11,3600,554.2951314345255,180.0,public
12,3600,467.60575869318745,180.0,public
13,3600,433.76165557844854,180.0,public
14,3600,517.7293860071161,180.0,public
15,3600,535.0959526165869,180.0,public
16,3600,226.12956753247119,440.28,car
17,3600,231.45705841558603,440.28,car
18,3600,274.6363081744237,440.28,car
19,3600,280.20593299021925,440.28,car
20,3600,266.9157319329476,440.28,car
21,3600,516.8110744719318,180.0,public
22,3600,230.4932271683376,440.28,car
23,3600,514.052359804727,180.0,public
24,3600,260.7632246067852,440.28,car
25,3600,901.9958493221058,18.0,bike
26,3600,318.02377169317106,440.28,car
27,3600,478.9735922938883,180.0,public
28,3600,290.52091396429046,440.28,car
29,3600,257.5671198122462,440.28,car
30,3600,625.5716162553457,180.0,public
31,3600,291.5819135418152,440.28,car
32,3600,671.0057069729413,180.0,public
33,3600,285.29055404149494,440.28,car
34,3600,289.39377849860676,440.28,car
35,3600,250.39780417155464,440.28,car
36,3600,590.2353806591668,180.0,public
37,3600,249.08754683030895,440.28,car
38,3600,849.7185175211207,18.0,bike
39,3600,501.3344227469279,180.0,public
40,3600,555.4925659014698,180.0,public
41,3600,547.5247944035495,180.0,public
42,3600,896.1627866000639,18.0,bike
43,3600,500.67624704234305,180.0,public
44,3600,272.1400640374867,440.28,car
45,3600,291.5469238347094,440.28,car
46,3600,253.22350712920982,440.28,car
47,3600,607.4309501467403,180.0,public
48,3600,455.31801903819803,180.0,public
49,3600,444.55323411320524,180.0,public
50,3600,529.399784673904,180.0,public
51,3600,438.91901367960696,180.0,public
52,3600,525.7980629892157,180.0,public
53,3600,241.7663581723629,440.28,car
54,3600,252.8425621739805,440.28,car
55,3600,289.15181597538196,440.28,car
56,3600,473.341621221061,180.0,public
57,3600,578.9294967108598,180.0,public
58,3600,554.6026439890098,180.0,public
59,3600,241.47221978196163,440.28,car
60,3600,257.3761581986147,440.28,car
61,3600,489.70470025104487,180.0,public
62,3600,661.2978545148884,180.0,public
63,3600,476.4593278335859,180.0,public
64,3600,252.45747973040943,440.28,car
65,3600,646.0029701594866,180.0,public
66,3600,609.3627899415985,180.0,public
67,3600,300.3554078925859,440.28,car
68,3600,505.5607025749046,180.0,public
69,3600,464.7517482141597,180.0,public
70,3600,245.996912579117,440.28,car
71,3600,541.3818848502665,180.0,public
72,3600,575.2656994031072,180.0,public
73,3600,315.3782384263243,440.28,car
74,3600,266.9686822017511,440.28,car
75,3600,592.9949332947305,180.0,public
76,3600,535.8197630554636,180.0,public
77,3600,251.0104508403525,440.28,car
78,3600,244.2245193990213,440.28,car
79,3600,218.3136260100327,440.28,car
80,3600,231.55291513156826,440.28,car
81,3600,485.1855695152723,180.0,public
82,3600,568.6328269995647,180.0,public
83,3600,304.1103341732764,440.28,car
84,3600,545.4634202147382,180.0,public
85,3600,558.6421304150663,180.0,public
86,3600,481.8302454126405,180.0,public
87,3600,262.6545911527988,440.28,car
88,3600,285.9302387851363,440.28,car
89,3600,250.83777003970823,440.28,car
90,3600,233.46912827069374,440.28,car
91,3600,558.818163042267,180.0,public
92,3600,590.8665921065581,180.0,public
93,3600,556.9881420188882,180.0,public
94,3600,235.2020524138958,440.28,car
95,3600,568.3513302963274,180.0,public
96,3600,257.67944662825465,440.28,car
97,3600,474.51099564278803,180.0,public
98,3600,503.9296253053544,180.0,public
99,3600,541.0604675981535,180.0,public
100,3600,282.2066624307945,440.28,car
101,3600,228.5150406848754,440.28,car
102,3600,311.81279672782864,440.28,car
103,3600,524.8528404993061,180.0,public
104,3600,279.3680526308867,440.28,car
105,3600,262.4470287436916,440.28,car
106,3600,543.7828030894232,180.0,public
107,3600,233.3803003557691,440.28,car
108,3600,513.9694671717907,180.0,public
109,3600,275.795618466857,440.28,car
110,3600,415.648113916176,180.0,public
111,3600,551.2563829062186,180.0,public
112,3600,584.7607170344929,180.0,public
113,3600,285.37381750172466,440.28,car
114,3600,486.9474391179045,180.0,public
115,3600,488.27531177104856,180.0,public
116,3600,507.9760620277407,180.0,public
117,3600,273.9325941974225,440.28,car
118,3600,475.65182974600856,180.0,public
119,3600,484.63915691263645,180.0,public
120,3600,309.79466027181684,440.28,car
121,3600,280.9084738951822,440.28,car
122,3600,900.4257884442178,18.0,bike
123,3600,547.1264590776188,180.0,public
124,3600,252.80929530203485,440.28,car
125,3600,472.7743189458337,180.0,public
126,3600,635.5665985160476,180.0,public
127,3600,220.90112456102375,440.28,car
128,3600,533.9449898346584,180.0,public
129,3600,453.01835887758637,180.0,public
130,3600,239.38629037070012,440.28,car
131,3600,558.976238346539,180.0,public
132,3600,516.1953238703583,180.0,public
133,3600,509.1686382117628,180.0,public
134,3600,468.0925177589547,180.0,public
135,3600,249.50010607329006,440.28,car
136,3600,252.17072511223358,440.28,car
137,3600,237.38822644085076,440.28,car
138,3600,218.88102384395395,440.28,car
139,3600,286.8721426523111,440.28,car
140,3600,262.18224072257783,440.28,car
141,3600,457.51733680524075,180.0,public
142,3600,537.6466603244385,180.0,public
143,3600,465.63471591032305,180.0,public
144,3600,532.4757687902897,180.0,public
145,3600,589.6597272320787,180.0,public
146,3600,502.3076779210852,180.0,public
147,3600,224.1495579741508,440.28,car
148,3600,538.944361223504,180.0,public
149,3600,224.02210199647485,440.28,car
150,3600,540.2861837600756,180.0,public
151,3600,235.4168040306034,440.28,car
152,3600,851.7208330564453,18.0,bike
153,3600,543.6195064696141,180.0,public
154,3600,247.9698673677417,440.28,car
155,3600,606.392248565771,180.0,public
156,3600,233.07326493706893,440.28,car
157,3600,510.3553045456992,180.0,public
158,3600,289.2914419665299,440.28,car
159,3600,798.5312539381871,18.0,bike
160,3600,248.79357856032908,440.28,car
161,3600,658.5731706002084,180.0,public
162,3600,260.56684590398487,440.28,car
163,3600,434.1172034526559,180.0,public
164,3600,458.3439994960746,180.0,public
165,3600,562.8249117879429,180.0,public
166,3600,318.1332637926813,440.28,car
167,3600,234.90245583319106,440.28,car
168,3600,276.15558676276356,440.28,car
169,3600,618.7963641154762,180.0,public
170,3600,535.2714190379277,180.0,public
171,3600,263.2982902637536,440.28,car
172,3600,696.6790931179984,180.0,public
173,3600,454.60324297936984,180.0,public
174,3600,206.56896514693318,440.28,car
175,3600,427.783245193525,180.0,public
176,3600,663.3423231145619,180.0,public
177,3600,622.4495000826399,180.0,public
178,3600,564.3775720320679,180.0,public
179,3600,241.14953109693292,440.28,car
180,3600,246.41438470111612,440.28,car
181,3600,248.4350799024736,440.28,car
182,3600,482.76547085811296,180.0,public
183,3600,509.89334479623744,180.0,public
184,3600,412.42727846563645,180.0,public
185,3600,246.3600127367683,440.28,car
186,3600,572.782592207554,180.0,public
187,3600,225.82153533614894,440.28,car
188,3600,242.46422129677225,440.28,car
189,3600,238.24623251584546,440.28,car
190,3600,230.4369262026503,440.28,car
191,3600,480.70240168964705,180.0,public
192,3600,254.2506023548242,440.28,car
193,3600,674.0427845769938,180.0,public
194,3600,466.21788662586664,180.0,public
195,3600,556.6795768816959,180.0,public
196,3600,451.7556121327465,180.0,public
197,3600,268.1181565471121,440.28,car
198,3600,531.3253426718067,180.0,public
199,3600,287.76365486198875,440.28,car
200,3600,314.6728046643813,440.28,car
201,3600,621.2924843428168,180.0,public
202,3600,237.14529137391744,440.28,car
203,3600,502.5033095093615,180.0,public
204,3600,330.68037559376154,440.28,car
205,3600,485.4784878537839,180.0,public
206,3600,867.0021641044121,18.0,bike
207,3600,596.3551794047157,180.0,public
208,3600,258.53068851469027,440.28,car
209,3600,390.6756733077029,180.0,public
210,3600,253.87918236229916,440.28,car
211,3600,266.20194477775306,440.28,car
212,3600,576.5551113079381,180.0,public
213,3600,266.402459104629,440.28,car
214,3600,271.473592886743,440.28,car
215,3600,499.0797683554822,180.0,public
216,3600,516.2728253264422,180.0,public
217,3600,458.19114787579457,180.0,public
218,3600,244.93808084719063,440.28,car
219,3600,461.4563952318134,180.0,public
220,3600,510.99536735465193,180.0,public
221,3600,312.7408288631584,440.28,car
222,3600,487.0650582686741,180.0,public
223,3600,830.4061034967169,18.0,bike
224,3600,261.8223467549449,440.28,car
225,3600,244.16720137451182,440.28,car
226,3600,285.0173565270978,440.28,car
227,3600,300.61196122175824,440.28,car
228,3600,266.61601006068884,440.28,car
229,3600,231.9544528521277,440.28,car
230,3600,454.4302604666604,180.0,public
231,3600,505.9175190509917,180.0,public
232,3600,426.32983157436644,180.0,public
233,3600,307.10052642684377,440.28,car
234,3600,489.55277790362254,180.0,public
235,3600,564.6021726209102,180.0,public
236,3600,646.6079912678796,180.0,public
237,3600,238.88336687112022,440.28,car
238,3600,819.6464471208243,18.0,bike
239,3600,232.00536862290824,440.28,car
240,3600,806.8555990814289,18.0,bike
241,3600,433.3210627401071,180.0,public
242,3600,534.9827599386765,180.0,public
243,3600,247.69970052851593,440.28,car
244,3600,490.80498919924395,180.0,public
245,3600,853.7560476204837,18.0,bike
246,3600,240.79159071900665,440.28,car
247,3600,519.069120839516,180.0,public
248,3600,231.73804145786752,440.28,car
249,3600,461.6274079229249,180.0,public
250,3600,230.58505450959677,440.28,car
251,3600,259.3852214710921,440.28,car
252,3600,536.6016176125692,180.0,public
253,3600,268.44862281634414,440.28,car
254,3600,525.7008834337115,180.0,public
255,3600,600.2966914656088,180.0,public
256,3600,448.35075294719,180.0,public
257,3600,239.00317951709485,440.28,car
258,3600,495.0758848608583,180.0,public
259,3600,246.16583050101252,440.28,car
260,3600,244.41980503085713,440.28,car
261,3600,439.94454364135885,180.0,public
262,3600,510.4727916756022,180.0,public
263,3600,514.1428847314004,180.0,public
264,3600,447.0794047596525,180.0,public
265,3600,239.632197728727,440.28,car
266,3600,456.12563879423203,180.0,public
267,3600,213.3972366980108,440.28,car
268,3600,502.5421531001259,180.0,public
269,3600,502.02807964537504,180.0,public
270,3600,219.89844073123678,440.28,car
271,3600,542.0062785013339,180.0,public
272,3600,493.22146634641865,180.0,public
273,3600,261.2370084592358,440.28,car
274,3600,268.718989616208,440.28,car
275,3600,241.9182503338534,440.28,car
276,3600,239.78841782055304,440.28,car
277,3600,251.70872112915734,440.28,car
278,3600,235.09771453675253,440.28,car
279,3600,452.1308367769903,180.0,public
280,3600,525.4310527419362,180.0,public
281,3600,243.88720949449333,440.28,car
282,3600,478.67042266066005,180.0,public
283,3600,468.35567298682696,180.0,public
284,3600,513.5143408423999,180.0,public
285,3600,619.1008378940376,180.0,public
286,3600,463.5269099420107,180.0,public
287,3600,491.9181553262648,180.0,public
288,3600,315.17754901059635,440.28,car
289,3600,234.46837126159923,440.28,car
290,3600,485.2981163952871,180.0,public
291,3600,261.57299136806967,440.28,car
292,3600,274.83712906254567,440.28,car
293,3600,488.19982239793495,180.0,public
294,3600,224.06460259808793,440.28,car
295,3600,496.16189503460026,180.0,public
296,3600,275.5447597544385,440.28,car
297,3600,529.0936586183243,180.0,public
298,3600,222.67088213900269,440.28,car
299,3600,266.8505909523139,440.28,car
300,3600,249.3203723025536,440.28,car
301,3600,298.4499083506141,440.28,car
302,3600,238.22127761781258,440.28,car
303,3600,524.0213738874348,180.0,public
304,3600,817.4229338154217,18.0,bike
305,3600,291.71360605846155,440.28,car
306,3600,445.1096691279042,180.0,public
307,3600,253.61787513156182,440.28,car
308,3600,256.3594237918892,440.28,car
309,3600,524.7314734971499,180.0,public
310,3600,251.01651327219818,440.28,car
311,3600,500.7328271297299,180.0,public
312,3600,255.06962242549963,440.28,car
313,3600,285.4354448309742,440.28,car
314,3600,276.07423920489975,440.28,car
315,3600,274.5217595835307,440.28,car
316,3600,645.0719386955343,180.0,public
317,3600,266.43430619835715,440.28,car
318,3600,442.2072388861179,180.0,public
319,3600,536.9227679068952,180.0,public
320,3600,280.5889977050201,440.28,car
321,3600,268.4509494434958,440.28,car
322,3600,268.50304777461736,440.28,car
323,3600,211.56562643729637,440.28,car
324,3600,489.99253011206497,180.0,public
325,3600,254.0106647882396,440.28,car
326,3600,858.5741929336638,18.0,bike
327,3600,258.6997282380998,440.28,car
328,3600,481.2272246218645,180.0,public
329,3600,510.1163196714216,180.0,public
330,3600,626.6968534352931,180.0,public
331,3600,552.7850685052041,180.0,public
332,3600,520.3393408602493,180.0,public
333,3600,246.79342150457964,440.28,car
